time (seconds), x, y
0, -19.6, 0
0.02, -19.2, 0
0.3533334, -12.53333, 0
0.4057401, -11.4852, 0
0.4333812, -10.93238, 0
0.442755, -10.7449, 0
0.4627369, -10.34526, 0
0.4830675, -9.938653, 0
0.5035787, -9.528427, 0
0.5238844, -9.122314, 0
0.5426087, -8.747827, 0
0.5644391, -8.311219, 0
0.5861796, -7.876411, 0
0.608667, -7.426663, 0
0.6313955, -6.972093, 0
0.6431438, -6.737125, 0
0.6674855, -6.250291, 0
0.6929603, -5.740797, 0
0.7052484, -5.495035, 0
0.7298864, -5.002275, 0
0.7527109, -4.545783, 0
0.7776284, -4.047432, 0
0.7998669, -3.602662, 0
0.8128302, -3.343398, 0
0.8249831, -3.10034, 0
0.8617911, -2.364178, 0
0.8852279, -1.895442, 0
0.9102197, -1.395609, 0
0.9233561, -1.132881, 0
0.9598463, -0.4030745, 0
0.9736919, -0.1261625, 0
0.986694, 0.1338795, 0
1.012713, 0.6542615, 0
1.037186, 1.143711, 0
1.062569, 1.651369, 0
1.08923, 2.184589, 0
1.102114, 2.442271, 0
1.127877, 2.95753, 0
1.141422, 3.228437, 0
1.178262, 3.965233, 0
1.191688, 4.233755, 0
1.204348, 4.486965, 0
1.230689, 5.013775, 0
1.244757, 5.295133, 0
1.260713, 5.614261, 0
1.287081, 6.141616, 0
1.306823, 6.536465, 0
1.329256, 6.985123, 0
1.344038, 7.280759, 0
1.369404, 7.788086, 0
1.387253, 8.145064, 0
1.407718, 8.554349, 0
1.430649, 9.012982, 0
1.441758, 9.235167, 0
1.465483, 9.709657, 0
1.490273, 10.20547, 0
1.502922, 10.45844, 0
1.525818, 10.91636, 0
1.543075, 11.2615, 0
1.571306, 11.82611, 0
1.582818, 12.05636, 0
1.604626, 12.49252, 0
1.621856, 12.83712, 0
1.64625, 13.325, 0
1.664347, 13.68695, 0
1.683572, 14.07144, 0
1.705238, 14.50475, 0
1.727928, 14.95856, 0
1.752222, 15.44444, 0
1.764935, 15.69871, 0
1.789946, 16.19892, 0
1.804363, 16.19892, 0.288336
1.830203, 16.19892, 0.8051441
1.843484, 16.19892, 1.070758
1.870555, 16.19892, 1.612174
1.883526, 16.19892, 1.871598
1.909807, 16.19892, 2.397216
1.923367, 16.19892, 2.668414
1.950103, 16.19892, 3.203138
1.963323, 16.19892, 3.467542
1.984387, 16.19892, 3.888828
2.002654, 16.19892, 4.254164
2.020527, 16.19892, 4.611616
