time (milliseconds),x,y,z
1682889336759,7.690894862824527,8.401629534155774,20.0
1682889336764,5.996062509075478,8.418666273442874,20.0
1682889336769,5.834536191414066,8.453281891477468,20.0
1682889336774,4.499371447401853,8.496167105118626,20.0
1682889336779,7.5265904903676955,8.430827969290567,20.0
1682889336784,11.072749121271263,8.385342792476354,20.0
1682889336789,13.18893751982239,8.356029178560101,20.0
1682889336794,14.267615902115283,8.340878959507878,20.0
1682889336799,11.864130394499197,8.347807610298933,20.0
1682889336804,8.455002524353613,8.355656995018762,20.0
1682889336809,5.173414398231312,8.363138352641222,20.0
1682889336814,3.2798524726401213,8.369721807429432,20.0
1682889336819,2.3551363547633923,8.37603314347158,20.0
1682889336824,2.016143521195313,8.377775382273486,20.0
1682889336829,1.840134318597533,8.379939695911574,20.0
1682889336834,1.831284294961422,8.379400880692977,20.0
1682889336839,1.8115450062886511,8.379573416195562,20.0
1682889336844,1.837573404682449,8.378073421547708,20.0
1682889336954,-6.1555926260711,7.840838622958221,20.0
1682889336959,-10.67865025456809,7.100275831593052,20.0
1682889336964,-11.822539193938034,6.353187420365672,20.0
1682889336969,-12.287537115316002,5.84244359379063,20.0
1682889336974,-12.326929037377756,5.461496436854107,20.0
1682889336979,-12.294539981149136,5.1943274280108485,20.0
1682889336984,-12.266421844174957,4.912973754293782,20.0
1682889336989,-12.252933669499175,4.811840507983939,20.0
1682889336994,-12.552244365130163,4.860229673907409,20.0
1682889336999,-12.596591525853025,4.817599594746174,20.0
1682889337004,-12.48902919334957,4.746772496317008,20.0
1682889337009,-12.482350155131108,4.712715942380905,20.0
1682889337014,-12.517676050575883,4.738312629050812,20.0
1682889337019,-12.613932531149256,4.765706691044958,20.0
1682889337024,-12.232753047101363,4.874476185915088,20.0
1682889337029,-12.469559231633848,4.879356116674971,20.0
1682889337034,-12.534012662712481,4.874541778033785,20.0
1682889337039,-12.646167077769752,4.870810553551713,20.0
1682889337044,-12.604483294136383,4.853503169341672,20.0
1682889337049,-12.562624232905131,4.8361662554198395,20.0
1682889337054,-11.632017741239567,1.6757445150155652,20.0
1682889337059,-11.546129996626945,0.6640298307465542,20.0
1682889337064,-11.479993220190458,0.007679172033055031,20.0
1682889337069,-11.440864179749388,-0.41063517211580014,20.0
1682889337074,-11.368281546059784,-0.41386101936313674,20.0
1682889337079,-11.206966921796395,-0.411975657964129,20.0
1682889337084,-11.203410444313766,0.27735651591796684,20.0
1682889337089,-11.204274812661609,0.6415888359506241,20.0
1682889337094,-11.211068933040114,0.8504062746285711,20.0
1682889337099,-10.333292800461173,-0.5430053773610398,20.0
1682889337104,-9.731715437748248,-1.1314653372515002,20.0
1682889337109,-9.38539210451551,-0.8601437331484989,20.0
1682889337114,-9.836135409650325,-0.8372550506514884,20.0
1682889337119,-10.078240036217673,-0.8506446790724153,20.0
1682889337124,-10.215724331389435,-0.9279012084833215,20.0
1682889337129,-10.271779371684623,-0.999705174745854,20.0
1682889337134,-10.036215771167408,-1.0981007163620682,20.0
1682889337139,-9.736285498208451,-1.1937266310770336,20.0
1682889337144,-9.430543132688031,-1.110729815177251,20.0
1682889337149,-9.198375642570856,-0.9456175180294422,20.0
1682889337154,-8.72500035555536,-1.6196476610474333,20.0
1682889337159,-8.375823246610034,-2.190740409803554,20.0
1682889337164,-8.150329336462928,-2.6876641105412697,20.0
1682889337169,-7.939180464133098,-2.8240369986956697,20.0
1682889337174,-8.090771794435343,-2.1718705447023225,20.0
1682889337179,-8.169685745451863,-1.8834237285930215,20.0
1682889337184,-8.22971292935298,-1.7390002538528133,20.0
1682889337189,-8.286085887865482,-1.6715520872688108,20.0
1682889337194,-8.311111159379523,-1.6486728056847642,20.0
1682889337199,-8.160082900925373,-1.8429846934627723,20.0
1682889337204,-8.045030125864704,-2.12188330248361,20.0
1682889337209,-7.923010778274719,-2.276168277368868,20.0
1682889337214,-7.826412125299372,-2.442719546252345,20.0
1682889337219,-7.790505168984792,-2.765282427615818,20.0
1682889337224,-7.934389233371524,-2.4728246156245195,20.0
1682889337229,-7.891791246973549,-2.747702932053608,20.0
1682889337234,-7.857730936654926,-2.9855936790517705,20.0
1682889337239,-7.9657347163253664,-2.6880045472986316,20.0
1682889337244,-7.931288961433607,-2.867930507562208,20.0
1682889337249,-7.90051151422761,-3.0258276139506246,20.0
1682889337254,-7.874521918690603,-3.155722257162937,20.0
1682889337259,-7.852887132405275,-3.2621189581787147,20.0
1682889337264,-7.834982967428332,-3.346710115847574,20.0
1682889337269,-7.812459908978432,-3.432030633345728,20.0
1682889337274,-7.787778448355544,-3.5137042534566474,20.0
1682889337279,-7.767329866163775,-3.576448478599907,20.0
1682889337284,-7.71988987851436,-3.541748602295864,20.0
1682889337289,2.500914024506069,-3.3062359960211847,20.0
1682889337294,6.6717279368251114,-3.204445103167808,20.0
