CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward
1682889336759;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.334154, 0.365034, 0.868960);2;0;21.0;22.8;(0.334151, 0.365035, 0.868961);
1682889336764;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.266340, 0.373950, 0.888383);2;0;16.7;22.8;(0.266339, 0.373950, 0.888383);
1682889336769;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.259505, 0.375980, 0.889548);2;0;16.3;22.9;(0.259502, 0.375980, 0.889549);
1682889336774;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.202759, 0.382870, 0.901277);2;0;12.7;23.0;(0.202755, 0.382870, 0.901277);
1682889336779;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.327637, 0.366999, 0.870612);2;0;20.6;22.9;(0.327634, 0.367000, 0.870613);
1682889336784;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.454734, 0.344368, 0.821357);2;0;29.0;22.7;(0.454733, 0.344368, 0.821358);
1682889336789;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.519809, 0.329332, 0.788250);2;0;33.4;22.7;(0.519809, 0.329333, 0.788251);
1682889336794;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.549921, 0.321485, 0.770866);2;0;35.5;22.6;(0.549921, 0.321486, 0.770866);
1682889336799;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.480190, 0.337870, 0.809482);2;0;30.7;22.7;(0.480188, 0.337871, 0.809483);
1682889336804;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.363407, 0.359137, 0.859626);2;0;22.9;22.7;(0.363407, 0.359137, 0.859625);
1682889336809;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.232128, 0.375249, 0.897388);2;0;14.5;22.7;(0.232129, 0.375249, 0.897388);
1682889336814;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.149578, 0.381702, 0.912102);2;0;9.3;22.7;(0.149578, 0.381702, 0.912102);
1682889336819;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.107981, 0.384034, 0.916983);2;0;6.7;22.7;(0.107981, 0.384034, 0.916983);
1682889336824;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.092580, 0.384702, 0.918387);2;0;5.8;22.7;(0.092580, 0.384702, 0.918386);
1682889336829;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.084555, 0.385062, 0.919009);2;0;5.3;22.7;(0.084555, 0.385062, 0.919009);
1682889336834;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.084152, 0.385054, 0.919049);2;0;5.2;22.7;(0.084152, 0.385054, 0.919049);
1682889336839;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.083251, 0.385090, 0.919116);2;0;5.2;22.7;(0.083251, 0.385090, 0.919116);
1682889336844;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(0.084441, 0.384993, 0.919049);2;0;5.2;22.7;(0.084441, 0.384993, 0.919049);
1682889336954;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.275460, 0.350874, 0.894991);2;0;-17.1;21.4;;(-0.481509, 0.219145, 0.848602)
1682889336959;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.449474, 0.298857, 0.841818);2;0;-28.1;19.5;;(-0.536773, 0.205913, 0.818214)
1682889336964;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.490847, 0.263771, 0.830358);2;0;-30.6;17.6;;(-0.282908, 0.056530, 0.957480)
1682889336969;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.507976, 0.241531, 0.826815);2;0;-31.6;16.3;;(-0.415361, 0.111486, 0.902799)
1682889336974;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.511064, 0.226429, 0.829183);2;0;-31.6;15.3;;(-0.471853, 0.146506, 0.869420)
1682889336979;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.511325, 0.216030, 0.831792);2;0;-31.6;14.6;;(-0.494729, 0.166989, 0.852853)
1682889336984;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.511722, 0.204956, 0.834346);2;0;-31.5;13.8;;(-0.504634, 0.174111, 0.845594)
1682889336989;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.511745, 0.200967, 0.835302);2;0;-31.5;13.5;;(-0.508727, 0.181717, 0.841532)
1682889336994;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.520674, 0.201605, 0.829611);2;0;-32.1;13.7;;(-0.518512, 0.190376, 0.833608)
1682889336999;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.522198, 0.199716, 0.829110);2;0;-32.2;13.5;;(-0.521113, 0.192433, 0.831511)
1682889337004;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.519247, 0.197353, 0.831525);2;0;-32.0;13.4;;(-0.519118, 0.192210, 0.832810)
1682889337009;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.519189, 0.196020, 0.831877);2;0;-32.0;13.3;;(-0.519212, 0.192457, 0.832694)
1682889337014;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.520152, 0.196893, 0.831068);2;0;-32.0;13.3;;(-0.520070, 0.194703, 0.831636)
1682889337019;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.522944, 0.197575, 0.829153);2;0;-32.2;13.4;;(-0.522582, 0.196350, 0.829671)
1682889337024;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.510852, 0.203563, 0.835220);2;0;-31.5;13.7;;(-0.511913, 0.203959, 0.834473)
1682889337029;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.518084, 0.202727, 0.830958);2;0;-31.9;13.7;;(-0.517867, 0.203199, 0.830978)
1682889337034;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.520060, 0.202254, 0.829838);2;0;-32.1;13.7;;(-0.519694, 0.202556, 0.829994)
1682889337039;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.523459, 0.201616, 0.827854);2;0;-32.3;13.7;;(-0.522834, 0.201838, 0.828195)
1682889337044;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.522280, 0.201110, 0.828721);2;0;-32.2;13.6;;(-0.522035, 0.201041, 0.828892)
1682889337049;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.521092, 0.200602, 0.829591);2;0;-32.1;13.6;;(-0.521101, 0.200346, 0.829648)
1682889337054;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.501440, 0.072239, 0.862172);2;0;-30.2;4.8;;(-0.508038, 0.144921, 0.849055)
1682889337059;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.499765, 0.028742, 0.865684);2;0;-30.0;1.9;;(-0.509307, 0.092007, 0.855652)
1682889337064;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.497819, 0.000333, 0.867281);2;0;-29.9;0.0;;(-0.509799, 0.044820, 0.859125)
1682889337069;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.496462, -0.017819, 0.867875);2;0;-29.8;-1.2;;(-0.508236, 0.010665, 0.861152)
1682889337074;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.494082, -0.017987, 0.869229);2;0;-29.6;-1.2;;(-0.498129, -0.000885, 0.867103)
1682889337079;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.488756, -0.017967, 0.872236);2;0;-29.3;-1.2;;(-0.487334, -0.007590, 0.873183)
1682889337084;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.488681, 0.012098, 0.872379);2;0;-29.3;0.8;;(-0.487363, 0.017557, 0.873023)
1682889337089;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.488554, 0.027976, 0.872085);2;0;-29.3;1.8;;(-0.487502, 0.031106, 0.872568)
1682889337094;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.488635, 0.037065, 0.871701);2;0;-29.3;2.4;;(-0.487963, 0.038972, 0.871994)
1682889337099;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.458885, -0.024114, 0.888168);2;0;-27.3;-1.6;;(-0.451563, -0.021642, 0.891977)
1682889337104;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.436973, -0.050805, 0.898039);2;0;-25.9;-3.2;;(-0.429131, -0.049035, 0.901910)
1682889337109;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.424498, -0.038904, 0.904593);2;0;-25.1;-2.5;;(-0.418090, -0.037874, 0.907616)
1682889337114;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.441011, -0.037539, 0.896716);2;0;-26.2;-2.4;;(-0.438254, -0.036834, 0.898096)
1682889337119;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.449682, -0.037955, 0.892382);2;0;-26.7;-2.4;;(-0.448799, -0.037448, 0.892848)
1682889337124;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.454494, -0.041282, 0.889793);2;0;-27.1;-2.7;;(-0.454908, -0.040881, 0.889600)
1682889337129;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.456407, -0.044420, 0.888662);2;0;-27.2;-2.9;;(-0.457878, -0.044086, 0.887921)
1682889337134;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.447969, -0.049014, 0.892705);2;0;-26.6;-3.1;;(-0.447718, -0.048786, 0.892843)
1682889337139;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.437075, -0.053588, 0.897827);2;0;-26.0;-3.4;;(-0.435782, -0.053435, 0.898465)
1682889337144;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.425955, -0.050169, 0.903352);2;0;-25.2;-3.2;;(-0.424229, -0.050092, 0.904168)
1682889337149;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.417460, -0.042916, 0.907682);2;0;-24.7;-2.7;;(-0.415767, -0.042900, 0.908459)
1682889337154;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.398760, -0.074023, 0.914063);2;0;-23.6;-4.6;;(-0.397019, -0.073947, 0.914827)
1682889337159;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.384328, -0.100523, 0.917708);2;0;-22.7;-6.3;;(-0.382850, -0.100442, 0.918334)
1682889337164;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.374495, -0.123494, 0.918969);2;0;-22.2;-7.7;;(-0.373356, -0.123425, 0.919441)
1682889337169;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.365816, -0.130124, 0.921546);2;0;-21.7;-8.0;;(-0.364949, -0.130079, 0.921896)
1682889337174;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.373129, -0.100162, 0.922357);2;0;-22.0;-6.2;;(-0.372579, -0.100170, 0.922578)
1682889337179;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.376723, -0.086849, 0.922246);2;0;-22.2;-5.4;;(-0.376351, -0.086886, 0.922394)
1682889337184;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.379305, -0.080150, 0.921794);2;0;-22.4;-5.0;;(-0.379046, -0.080209, 0.921895)
1682889337189;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.381619, -0.076984, 0.921108);2;0;-22.5;-4.8;;(-0.381437, -0.077062, 0.921177)
1682889337194;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.382634, -0.075903, 0.920777);2;0;-22.6;-4.7;;(-0.382497, -0.075995, 0.920826)
1682889337199;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.376403, -0.085012, 0.922547);2;0;-22.2;-5.3;;(-0.376263, -0.085045, 0.922601)
1682889337204;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.371396, -0.097956, 0.923293);2;0;-21.9;-6.1;;(-0.371268, -0.097945, 0.923345)
1682889337209;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.366259, -0.105221, 0.924545);2;0;-21.6;-6.5;;(-0.366144, -0.105196, 0.924593)
1682889337214;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.362078, -0.113009, 0.925272);2;0;-21.4;-7.0;;(-0.361980, -0.112976, 0.925315)
1682889337219;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.359986, -0.127779, 0.924166);2;0;-21.3;-7.9;;(-0.359909, -0.127738, 0.924202)
1682889337224;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.366349, -0.114176, 0.923446);2;0;-21.6;-7.0;;(-0.366301, -0.114163, 0.923466)
1682889337229;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.364087, -0.126765, 0.922698);2;0;-21.5;-7.8;;(-0.364045, -0.126742, 0.922718)
1682889337234;(-0.661419, -0.215430, 0.394044);(0.000000, 0.012534, 0.000000, 0.999921);(-0.362197, -0.137619, 0.921887);2;0;-21.4;-8.5;;(-0.362161, -0.137593, 0.921904)
