time (seconds), x, y
1682562347906, -19.6, 0
1682562347910, -19.2, 0
1682562348219, -13.01512, 0
1682562348227, -12.82838, 0
1682562348229, -12.79171, 0
1682562348238, -12.591, 0
1682562348253, -12.39232, 0
1682562348259, -12.18456, 0
1682562348271, -11.99648, 0
1682562348278, -11.79878, 0
1682562348289, -11.58489, 0
1682562348298, -11.39826, 0
1682562348309, -11.18053, 0
1682562348319, -10.98505, 0
1682562348329, -10.78304, 0
1682562348338, -10.5984, 0
1682562348349, -10.3872, 0
1682562348358, -10.19936, 0
1682562348369, -9.988431, 0
1682562348378, -9.795046, 0
1682562348388, -9.596869, 0
1682562348398, -9.394996, 0
1682562348409, -9.185332, 0
1682562348418, -8.997008, 0
1682562348429, -8.790828, 0
1682562348438, -8.593051, 0
1682562348448, -8.398642, 0
1682562348458, -8.196953, 0
1682562348468, -7.998899, 0
1682562348479, -7.786416, 0
1682562348488, -7.59483, 0
1682562348499, -7.383846, 0
1682562348508, -7.197081, 0
1682562348519, -6.984527, 0
1682562348529, -6.79111, 0
1682562348541, -6.536072, 0
1682562348548, -6.395025, 0
1682562348558, -6.193063, 0
1682562348569, -5.985192, 0
1682562348579, -5.787119, 0
1682562348588, -5.59509, 0
1682562348598, -5.390965, 0
1682562348609, -5.19321, 0
1682562348618, -4.997237, 0
1682562348629, -4.790551, 0
1682562348638, -4.59303, 0
1682562348648, -4.399029, 0
1682562348659, -4.186774, 0
1682562348668, -3.992982, 0
1682562348678, -3.798802, 0
1682562348688, -3.598238, 0
1682562348699, -3.381786, 0
1682562348709, -3.192521, 0
1682562348718, -2.996623, 0
1682562348729, -2.787104, 0
1682562348739, -2.583043, 0
1682562348749, -2.389009, 0
1682562348759, -2.189221, 0
1682562348769, -1.984962, 0
1682562348778, -1.796626, 0
1682562348789, -1.586846, 0
1682562348799, -1.38666, 0
1682562348809, -1.185128, 0
1682562348818, -0.9985889, 0
1682562348828, -0.7969847, 0
1682562348839, -0.5847589, 0
1682562348848, -0.3984855, 0
1682562348858, -0.1930913, 0
1682562348869, 0.005297023, 0
1682562348878, 0.2050112, 0
1682562348888, 0.4018845, 0
1682562348899, 0.6109346, 0
1682562348909, 0.8031437, 0
1682562348919, 1.011091, 0
1682562348928, 1.200966, 0
1682562348940, 1.441585, 0
1682562348949, 1.609341, 0
1682562348958, 1.803028, 0
1682562348968, 2.002971, 0
1682562348978, 2.20102, 0
1682562348988, 2.403125, 0
1682562348998, 2.609065, 0
1682562349009, 2.80892, 0
1682562349018, 3.001003, 0
1682562349028, 3.207063, 0
1682562349038, 3.409065, 0
1682562349048, 3.605414, 0
1682562349059, 3.812805, 0
1682562349069, 4.012537, 0
1682562349078, 4.203124, 0
1682562349088, 4.401529, 0
1682562349098, 4.606338, 0
1682562349109, 4.8092, 0
1682562349119, 5.011112, 0
1682562349131, 5.260584, 0
1682562349138, 5.400912, 0
1682562349148, 5.60313, 0
1682562349159, 5.810805, 0
1682562349169, 6.015028, 0
1682562349178, 6.205048, 0
1682562349189, 6.402519, 0
1682562349198, 6.604993, 0
1682562349210, 6.811418, 0
1682562349218, 7.005441, 0
1682562349229, 7.208824, 0
1682562349239, 7.414987, 0
1682562349248, 7.601038, 0
1682562349259, 7.810888, 0
1682562349269, 8.011189, 0
1682562349278, 8.202973, 0
1682562349288, 8.404953, 0
1682562349298, 8.602992, 0
1682562349310, 8.815297, 0
1682562349318, 9.002102, 0
1682562349329, 9.2115, 0
1682562349338, 9.400926, 0
1682562349349, 9.489203, 0.1239283
1682562349359, 9.489203, 0.3237666
1682562349368, 9.489203, 0.5117975
1682562349378, 9.489203, 0.711835
1682562349388, 9.489203, 0.9138634
1682562349398, 9.489203, 1.117364
1682562349408, 9.489203, 1.316032
1682562349418, 9.489203, 1.517894
1682562349429, 9.489203, 1.719413
1682562349438, 9.489203, 1.911845
1682562349449, 9.489203, 2.121633
1682562349458, 9.489203, 2.31545
1682562349468, 9.489203, 2.511594
1682562349479, 9.489203, 2.724058
1682562349489, 9.489203, 2.921736
1682562349499, 9.489203, 3.121664
1682562349510, 9.489203, 3.319556
1682562349518, 9.489203, 3.52005
1682562349528, 9.489203, 3.71831
1682562349538, 9.489203, 3.911955
1682562349548, 9.489203, 4.111858
1682562349558, 9.489203, 4.313688
1682562349569, 9.489203, 4.523654
1682562349578, 9.489203, 4.719586
1682562349588, 9.489203, 4.912359
1682562349598, 9.489203, 5.120414
1682562349608, 9.489203, 5.317544
1682562349618, 9.489203, 5.511776
1682562349629, 9.489203, 5.725678
1682562349638, 9.489203, 5.913668
1682562349648, 9.489203, 6.111801
1682562349658, 9.489203, 6.321385
1682562349668, 9.489203, 6.51553
1682562349679, 9.489203, 6.72603
1682562349688, 9.489203, 6.911866
1682562349698, 9.489203, 7.118122
1682562349708, 9.489203, 7.313931
1682562349719, 9.489203, 7.521716
1682562349729, 9.489203, 7.724342
1682562349739, 9.489203, 7.925674
1682562349749, 9.489203, 8.121826
1682562349759, 9.489203, 8.323371
1682562349769, 9.489203, 8.521965
1682562349779, 9.489203, 8.736926
1682562349788, 9.489203, 8.911854
1682562349799, 9.489203, 9.123679
1682562349808, 9.489203, 9.317706
1682562349818, 9.489203, 9.515967
1682562349828, 9.489203, 9.711852
1682562349838, 9.489203, 9.911871
1682562349849, 9.489203, 10.1216
1682562349859, 9.489203, 10.32163
1682562349868, 9.489203, 10.51577
1682562349878, 9.489203, 10.71389
1682562349888, 9.489203, 10.91152
1682562349898, 9.489203, 11.1194
16825623499
